year,total,trade_I,trade_II,trade_III,trade_IV
1995,25010289.1073,2056578.7508999999,596456.6107,17893041.5795,4464212.1662
1996,25683722.839199997,2181719.2674000002,626721.9399,18272802.3354,4602479.2965
1997,25759421.347999997,2237240.7233,643087.0077999999,18287036.730899997,4592056.886
1998,25508262.833800003,2200075.9994,641821.4983999999,18090691.8868,4575673.449200001
1999,26708084.0683,2316649.4863,670073.9755,18917464.5746,4803896.0319
2000,28269707.489,2607415.5269,755962.5315,19858457.3146,5047872.115999999
2001,27720712.6079,2511710.7852000003,709775.3497,19589075.8114,4910150.6616
2002,28428365.974799998,2642328.2723000003,734055.2897999999,19988185.4326,5063796.9801
2003,32310359.6854,3149384.0505000004,880163.2952,22458985.267300002,5821827.0724
2004,37256914.2614,3874830.9997000005,1075419.8396,25635948.2187,6670715.203399999
2005,41393555.981199995,4456485.075300001,1210476.7632000002,28335182.3104,7391411.8323
2006,45763978.0753,5128474.7628999995,1422459.4375999998,30751795.4934,8461248.3814
2007,52715479.00930001,5966539.163699999,1683555.6464999998,34841806.0185,10223578.180599999
2008,58928308.323699996,6990520.4142,1878497.0015999998,38912895.325,11146395.582899999
2009,53004215.5273,5441400.680400001,1409280.6099,35877729.212799996,10275805.0242
2010,58996017.67109999,6446717.168,1707396.4054,39675970.376499996,11165933.7212
2011,68012070.5528,7855844.6392,2062309.7656,45220975.4675,12872940.6805
2012,70188617.8671,7831801.327299999,2049888.7024,46505337.8757,13801589.9617
2013,72960159.22999999,7930583.0720999995,2097490.7844999996,48837099.073300004,14094986.300099999
2014,75730343.10120001,8051391.676000001,2168141.8529,50645030.298499994,14865779.273799999
2015,71872599.449,6931478.0572999995,2023911.8055,48312547.4297,14604662.156499999
2016,70411746.366,6689184.0597,1975255.9008,47573509.714,14173796.6915
2017,74800950.6278,7493524.5186,2214330.1332,49845343.6392,15247752.336800002
2018,80563612.4332,8416869.369,2384171.9337,53935253.5816,15827317.5489
2019,81407529.0916,8351172.384100001,2350508.2347999997,54595991.2196,16109857.2531
2020,78851317.046,7748475.135600001,2250979.5345,52902522.16240001,15949340.2135
2021,93539900.566,9885698.1734,2795749.0291,62216382.13730001,18642071.2262
2022,99120410.3093,11238668.8825,3011138.6936,65475080.1357,19395522.5975
